locale|example
HazOp Gear | 
NFTA Standard Infantry | 
Molle Heavy Rig | 
Cultist Pro | 
Riot Vest | 
Contractor Vest | 
Militia Light | 
Composite Vest | 
Cultist Medium Plate | 
State Artificer | 
Stalker Rags |  # unused
Light Pouch Vest | 
Cultist Insulated Jacket | 
Cultist Jacket | 
Cat Suit | 
Insulated Jacket | 
Hazard Suit | 
Conscript Uniform | 
Bandit Jacket | 
Old Fatigues | 
Rebel Fatigues | 
Tech Rig | 
Heavy Coat | 
Hunter's Jacket | 
Bomber Jacket | 
Insurrectionist Jacket | 
Expedition Light | 
Insurrection Officer's Coat | 
Field Research Coat | 


--Document/Note/Book Items
$3Mil Debt Receipt |  # unused?
Arcana Angelica | 
Arcana VII - XII | 
Arcana XIII - XVIII | 
Arcana XIX - XXIV | 
Bank Ledger | 
Bill of Debt | 
Bixby's Note | 
Black Market Flyer | 
Courier's Journal | 
Dangerous Fae of The Zone | 
Dead End Report | 
Debt Receipt | 
Depot Documents | 
Dr. Quinn's Note | 
Drill Worker's Journal | 
Eather Drill Manual | 
Eather Reification Pattern Manifest | 
Farm House Note | 
Forbidden Verses I | 
Forbidden Verses II | 
Forbidden Verses III | 
Forbidden Verses IV | 
Fort Memo | 
Fresh Epoch Vol 1 | 
Infrastructure Records | 
Insurrection Orders | 
Lenny's Journal | 
Manifesto of Ruin: Vol 1 | 
Manifesto of Ruin: Vol 2 | 
Manifesto of Ruin: Vol 3 | 
Mission Case File | 
News Paper |  # unused
NFTA Field Report: 'Flayers' | 
NFTA Sea Chart | 
Note from Ray | 
Office Documents | 
Records Office Notice | 
Return the Earth Chp1 | 
Return the Earth Chp2 | 
Revolutionary Army: Orders | 
Sawmill Note | 
Spratt's Note | 
Strange Child's Drawing | 
Test Drill Memo | 
The Arrival of the Fae | 
The Hunter and the Four Stags | 

--Data Tape Items
Blank Data Tape | 
Annex Telemetry Data Tape | 
F-COM LX-0977 Tape | 
Fort Leto PSA | 
Ground Saturation Data | 
Lab E206 Data Tape | 
M35 Radio Transmission Tape | 
Micro-Drill Data | 
Telemetry Data | 
UT 308 Data | 


--Key/Keycard Items
Attic Lab Key | 
Bank Master Key | 
Blue House Key | 
Depot Employee ID Card | 
Farm House Key | 
Hidden Apartment Key | 
Key No. 002 | 
Key No. 04 | 
Key No. 06 | 
Key No. 230 | 
Key No. 30 | 
Key No. 4513 | 
Key No. 543 | 
Lab E-206 Key Card | 
Lab PD-002 Key Card | 
Manor Key | 
Modern NFTA Key Card | 
Old Iron Key | 
Old NFTA Key Card | 
RG East Key Card | 
Saloon Bedroom Key | 
Savlo Key Card | 
Savlo Manor Key | 
Saw Mill Key | 
South Bend Key | 
The Broker's Key | 
Warehouse Office Key | 
Yard Master Key | 


--Miscellaneous Items
Can of Molasses | 
Cash | 
Couple of Bills | 
Small Stack of Cash | 
Large Stack of Cash | 
Massive Pile of Cash | 
CERT Key | 
Coil Gun Blueprints | 
Cut-Down Rifle Blueprints | 
EMP Device Blueprints | 
Fragmentation IED Blueprints | 
Homebrew Medicine Blueprints | 
Shortwave Radio Blueprints | 
Stun Baton Blueprints | 
Duffle Bag | 
Heavy Duffle Bag | 
Large Package | 
Lost Duffle Bag | 
Metal Briefcase | 
Old Teddy Bear | 
Requisition Form | 
Small Gas Mask | 
Small Package | 
Stolen Duffle Bag | 
Tarot Cards | 
Thermometer | 
Toilet Paper | 
Tool Kit | 
Eather Pattern Cartridge | 
Gold Bar | 
Diamond Ring | 
Gold Cat | 
Turbo Pump | 
Gold Ingot | 
Gold Candelabrum | 
Telemetry Module | 
Pocket Watch | 
Sulfates | 
Radio Transceiver | 
Phosphates | 
Eather Resin | 
Computer Board | 
Jewelry | 
Copper Wire | 
Hesh Egg | 
Toy Robot | 
Film Pack | 
Spark Plug | 
Gold Nugget | 
Scrap Electronics | 
Ink Pack | 
Silverware | 
Gold Coin | 
Dog Tags | 
